N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
19.50 secs, 2 evals, 1 steps, fitness=3.559071134
3734.76 secs, 351 evals, 253 steps, improv/step: 0.372 (last = 0.0000), fitness=1.281702905
3741.58 secs, 352 evals, 254 steps, improv/step: 0.370 (last = 0.0000), fitness=1.281702905
3753.62 secs, 353 evals, 255 steps, improv/step: 0.369 (last = 0.0000), fitness=1.281702905
3765.17 secs, 354 evals, 256 steps, improv/step: 0.367 (last = 0.0000), fitness=1.281702905
3786.19 secs, 356 evals, 257 steps, improv/step: 0.370 (last = 1.0000), fitness=1.281702905
3797.72 secs, 357 evals, 258 steps, improv/step: 0.372 (last = 1.0000), fitness=1.281702905
3807.94 secs, 358 evals, 259 steps, improv/step: 0.371 (last = 0.0000), fitness=1.281702905
3818.82 secs, 359 evals, 260 steps, improv/step: 0.373 (last = 1.0000), fitness=1.281702905
3829.73 secs, 360 evals, 261 steps, improv/step: 0.375 (last = 1.0000), fitness=1.281702905
3838.40 secs, 361 evals, 262 steps, improv/step: 0.378 (last = 1.0000), fitness=1.281702905
3848.28 secs, 362 evals, 263 steps, improv/step: 0.380 (last = 1.0000), fitness=1.281702905
3859.28 secs, 363 evals, 264 steps, improv/step: 0.383 (last = 1.0000), fitness=1.281702905
3867.70 secs, 364 evals, 265 steps, improv/step: 0.381 (last = 0.0000), fitness=1.281702905
3878.20 secs, 365 evals, 266 steps, improv/step: 0.383 (last = 1.0000), fitness=1.281702905
3887.64 secs, 366 evals, 267 steps, improv/step: 0.382 (last = 0.0000), fitness=1.281702905
3898.67 secs, 367 evals, 268 steps, improv/step: 0.384 (last = 1.0000), fitness=1.281702905
3904.96 secs, 368 evals, 269 steps, improv/step: 0.383 (last = 0.0000), fitness=1.281702905
