"","Subject","trial.number","Observation.id","food.loc","distract.loc","n_searches","delay","load","baiting","interval","first.search.time","first.search.loc","time.to.search","first.search","food.loc.row","food.loc.col","first.search.row","first.search.col"
"87","Cayenne","26","Cayenne_E1_S5_T1-6","C3","None",1,"S","1",112.52,6.24000000000001,120.76,"C3",8.24000000000001,1,"C","3","C","3"
"88","Cayenne","27","Cayenne_E1_S5_T1-6","B2","E2",2,"L","2",166.08,11.04,178.8,"B3",12.72,0,"B","2","B","3"
"89","Cayenne","28","Cayenne_E1_S5_T1-6","E1","B1",1,"M","2",229.08,10.4,242.76,"E1",13.68,1,"E","1","E","1"
"90","Cayenne","29","Cayenne_E1_S5_T1-6","A3","None",1,"M","1",309.2,8.24000000000001,319.08,"A3",9.88,1,"A","3","A","3"
"91","Cayenne","3","Cayenne_E1_S1_T1-6","F1","C1",2,"M","2",131.68,10.2,150.28,"F2",18.6,0,"F","1","F","2"
"92","Cayenne","30","Cayenne_E1_S5_T1-6","D2","None",2,"L","1",366.96,11.28,380.64,"D3",13.68,0,"D","2","D","3"
"93","Cayenne","31","Cayenne_E1_S6_T1-6","C1","None",2,"M","1",50.88,7.84,60.36,"C2",9.48,0,"C","1","C","2"
"94","Cayenne","32","Cayenne_E1_S6_T1-6","B3","None",1,"L","1",105.52,10.92,119.28,"B3",13.76,1,"B","3","B","3"
"95","Cayenne","33","Cayenne_E1_S6_T1-6","A1","D3",2,"S","2",161.8,7.67999999999998,171.6,"A3",9.79999999999998,0,"A","1","A","3"
"96","Cayenne","34","Cayenne_E1_S6_T1-6","E3","B3",1,"M","2",224,8.75999999999999,234.64,"E3",10.64,1,"E","3","E","3"
"97","Cayenne","35","Cayenne_E1_S6_T1-6","F2","C2",2,"L","2",280.36,11.96,294.24,"F3",13.88,0,"F","2","F","3"
"98","Cayenne","36","Cayenne_E1_S6_T1-6","D2","None",2,"S","1",335.48,6.56,343.36,"D3",7.88,0,"D","2","D","3"
"99","Cayenne","4","Cayenne_E1_S1_T1-6","B3","E1",3,"L","2",230.28,13.68,246.48,"B2",16.2,0,"B","3","B","2"
"100","Cayenne","5","Cayenne_E1_S1_T1-6","E2","None",1,"M","1",293.28,9.60000000000002,304.6,"E2",11.3200000000001,1,"E","2","E","2"
"101","Cayenne","6","Cayenne_E1_S1_T1-6","A1","D2",2,"S","2",359.52,8.08000000000004,369.44,"A2",9.92000000000002,0,"A","1","A","2"
"102","Cayenne","7","Cayenne_E1_S2_T1-6","E3","None",1,"S","1",35.44,5.76000000000001,42.84,"E3",7.40000000000001,1,"E","3","E","3"
"103","Cayenne","8","Cayenne_E1_S2_T1-6","B1","E2",3,"L","2",91,12.76,105.6,"B3",14.6,0,"B","1","B","3"
"104","Cayenne","9","Cayenne_E1_S2_T1-6","F3","None",1,"M","1",162.88,8.20000000000002,172.8,"F3",9.92000000000002,1,"F","3","F","3"
"105","Flojo","1","Flojo_E1_S1_T1-5","A3","D1",3,"S","2",35.68,8.72,46.28,"D3",10.6,0,"A","3","D","3"
"106","Flojo","10","Flojo_E1_S2_T1-5","B3","None",1,"M","1",199.84,7.79999999999998,208.96,"B3",9.12,1,"B","3","B","3"
"107","Flojo","11","Flojo_E1_S2_T1-5","C2","None",3,"L","1",239.52,10.76,251.8,"C3",12.28,0,"C","2","C","3"
"108","Flojo","12","Flojo_E1_S2_T6","E2","B2",1,"S","2",31.8,7.72,41.44,"E2",9.64,1,"E","2","E","2"
"109","Flojo","13","Flojo_E1_S3_T1-6","A3","D1",1,"S","2",73.72,6.12,81.24,"A3",7.52,1,"A","3","A","3"
"110","Flojo","14","Flojo_E1_S3_T1-6","F2","C2",1,"M","2",119.4,8.68000000000001,131.44,"F2",12.04,1,"F","2","F","2"
"111","Flojo","15","Flojo_E1_S3_T1-6","B1","None",2,"S","1",163.44,6.52000000000001,171.68,"B2",8.24000000000001,0,"B","1","B","2"
"112","Flojo","16","Flojo_E1_S3_T1-6","E1","None",1,"M","1",200,7.59999999999999,209.36,"E1",9.36000000000001,1,"E","1","E","1"
"113","Flojo","17","Flojo_E1_S3_T1-6","D3","A1",1,"L","2",248.28,11.76,261.4,"D3",13.12,1,"D","3","D","3"
